rank,disease,pathogen,efo_id,deaths_per_year,dalys_per_year,burden_confidence,has_post_acute,post_acute_kind,post_acute_syndrome,post_acute_onset,post_acute_source,top_drugs,top_targets,ct_trials_total,ct_trials_post_acute
16,Trachoma,bacteria,MONDO_0005808,0.0,200000.0,med,True,sequela,Conjunctival scarring -> trichiasis -> irreversible blindness,chronic/late,WHO trachoma (SAFE),Facial cleanliness & environmental improvement (F&E); Azithromycin (mass drug administration); Tetracycline eye ointment; Trichiasis surgery,SLC35A2; CXCL8; KLRC2; MMP9; HSPD1; TNF,,
17,Echinococcosis,helminth,MONDO_0005738,2000.0,180000.0,low,True,chronic,Chronic cystic/alveolar organ disease; recurrence after surgery,chronic,WHO echinococcosis,Dog deworming & slaughter hygiene; Albendazole; Mebendazole; PAIR / surgery; Long-term cyst surveillance,IL21; IGHE; PRDX2; LGALS3; IFNG; INS,,
18,Human African trypanosomiasis (sleeping sickness),protozoa,MONDO_0005459,1000.0,100000.0,med,True,sequela,Neuropsychiatric / sleep-cycle sequelae after CNS-stage disease,post-treatment,WHO HAT technical reports,"Tsetse fly control (traps, insecticide); Pentamidine; Suramin; Eflornithine (DFMO); Melarsoprol; Fexinidazole; Nifurtimox–eflornithine combination (NECT); Neuropsychiatric rehabilitation; ACOZIBOROLE",ODC1; PSAP; NPC1; KCNA1; GALC; TP53BP2,,
19,Buruli ulcer,bacteria,MONDO_0000327,100.0,50000.0,low,True,sequela,"Contractures, deformity, functional limitation after healing",post-treatment,WHO Buruli ulcer,Environmental wound care & early detection; Rifampicin + clarithromycin; Streptomycin + rifampicin; Physiotherapy & surgery for contractures; CLARITHROMYCIN; STREPTOMYCIN; RIFAMPIN,SLC11A1; IFNG; IL1B; BCL2L11; ARAF; HSPD1,,
20,Zika virus disease,virus,MONDO_0018661,0.0,50000.0,low,True,PAIS,Guillain-Barré syndrome; congenital Zika syndrome (vertical transmission),days-to-months post-acute,Cao-Lormeau 2016 NEJM; WHO Zika,"Aedes vector control (integrated with dengue); Pregnancy exposure avoidance & condom use; Supportive care (rest, fluids, analgesia); Guillain-Barré syndrome management (IVIG, plasmapheresis); Congenital Zika syndrome multidisciplinary care",AXL; CD8A; CD4; STAT2; IL1B; STAT1,,
21,Leprosy (Hansen's disease),bacteria,MONDO_0005124,0.0,30000.0,low,True,sequela,"Chronic peripheral neuropathy, disability, immune-mediated reactions (ENL/type-1)",during/after treatment,WHO leprosy guidelines,"Contact tracing & BCG in high-risk contacts; Rifampicin; Dapsone; Clofazimine; Ofloxacin / minocycline / clarithromycin; Reaction management (prednisolone, thalidomide for ENL)",LACC1; TNFSF15; RIPK2; SNX20; ADGB; C1orf141,,
22,Yaws (endemic treponematoses),bacteria,MONDO_0006019,0.0,20000.0,low,True,chronic,Chronic destructive skin/bone/cartilage lesions if untreated,chronic/late,WHO yaws eradication,Azithromycin (single dose); Benzathine penicillin G; Active case finding & contact treatment; Bone & cartilage lesion management,CA4,,
23,Dracunculiasis (Guinea-worm disease),helminth,MONDO_0016472,0.0,50.0,high,False,none,Transient joint involvement; no defined post-acute syndrome (near eradication),-,WHO GWEP,Guinea worm case containment & water filtration; Safe water supply education; Manual worm extraction & wound care,ITGB2; CARD14; IL1RN; CTSL; CTSV; TRPV3,,
24,"Mycetoma, chromoblastomycosis and other deep mycoses",fungus,MONDO_0005757,,,,True,chronic,"Chronic progressive subcutaneous destruction, disability, amputation",chronic by nature,WHO mycetoma,Footwear & wound protection; Itraconazole; Ketoconazole; Amoxicillin–clavulanate + gentamicin; Surgical debridement & amputation (advanced),CYP51A1; IL17A; IL10; IL1B; IL37; IFNG,,
25,Noma (cancrum oris),polymicrobial,MONDO_0017124,,,low,True,sequela,"Severe facial disfigurement, trismus, functional (eating/speech) impairment in survivors",post-acute (survivors),Srour 2015; WHO,Nutrition & oral hygiene programs; Amoxicillin–clavulanate; Metronidazole; Nutritional rehabilitation + reconstructive surgery,GCG; CAT,,
